              Procedure           Image            Address        Calls Instructions
_ZN3NTL6MakeRRERNS_2RRERKNS_2ZZEl       TestHEAAN             435c00            8          120
_ZN3NTLL10normalize1ERNS_2RRERKNS_2ZZElll       TestHEAAN             435a00           57         2887
_ZN6Scheme15evalExpAndEqualER10Ciphertextll       TestHEAAN             42ecc0            1          326
_ZN6Scheme14exp2piAndEqualER10Ciphertextl       TestHEAAN             42d7e0            1          649
_ZN6Scheme19slotToCoeffAndEqualER10Ciphertext       TestHEAAN             429d80            1          713
_ZN6Scheme19coeffToSlotAndEqualER10Ciphertext       TestHEAAN             428810            1          713
_ZN6Scheme17normalizeAndEqualER10Ciphertext       TestHEAAN             428700            1      1279543
_ZN6Scheme9conjugateER10CiphertextS1_       TestHEAAN             427bc0            2      2490748
_ZN6Scheme22leftRotateFastAndEqualER10Ciphertextl       TestHEAAN             427620            6      7472284
_ZN6Scheme14leftRotateFastER10CiphertextS1_l       TestHEAAN             426f90           16     19926265
_ZN6Scheme17modDownToAndEqualER10Ciphertextl       TestHEAAN             426ed0            1           37
_ZN6Scheme16divByPo2AndEqualER10Ciphertextl       TestHEAAN             426ac0            1           18
_ZN6Scheme21multByPolyNTTAndEqualER10CiphertextPmll       TestHEAAN             426680            1           55
_ZN6Scheme13multByPolyNTTER10CiphertextS1_Pmll       TestHEAAN             426400           17         1071
_ZN6Scheme19multByConstAndEqualER10CiphertextRN3NTL2RREl       TestHEAAN             426060            4          204
_ZN6Scheme14squareAndEqualER10Ciphertext       TestHEAAN             425620            8     14944408
_ZN6Scheme6squareER10CiphertextS1_       TestHEAAN             424f40            2      3736116
_ZN6Scheme12multAndEqualER10CiphertextS1_       TestHEAAN             4247c0            3      5604288
_ZN6Scheme16addConstAndEqualER10CiphertextRN3NTL2RREl       TestHEAAN             423920            1           45
_ZN6Scheme8addConstER10CiphertextS1_RN3NTL2RREl       TestHEAAN             4235d0            3          153
_ZN6Scheme11addAndEqualER10CiphertextS1_       TestHEAAN             4233f0           18          702
_ZN14RingMultiplier9squareNTTEPN3NTL2ZZEPmlRKS1_       TestHEAAN             41f7a0           20    984691905
_ZN14RingMultiplier15multNTTAndEqualEPN3NTL2ZZEPmlRKS1_       TestHEAAN             41e840            2     54527382
_ZN14RingMultiplier8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       TestHEAAN             41d920           93   7838826769
_ZN14RingMultiplier7multNTTEPN3NTL2ZZES2_PmlRKS1_       TestHEAAN             41d0d0           34   1195421092
_ZN14RingMultiplier11reconstructEPN3NTL2ZZEPmlRKS1_       TestHEAAN             41c000          149  13125441128
_ZN14RingMultiplier14addNTTAndEqualEPmS0_l       TestHEAAN             41bf50            6    124783466
_ZN14RingMultiplier3CRTEPmPN3NTL2ZZEl       TestHEAAN             41ba00           69   2124082927
_ZN14RingMultiplier4INTTEPml       TestHEAAN             41aab0         6205 102859077186
_ZN14RingMultiplier3NTTEPml       TestHEAAN             41a840         3837  58466277276
_ZN4Ring9conjugateEPN3NTL2ZZES2_       TestHEAAN             417d50            4      5767172
_ZN4Ring10leftRotateEPN3NTL2ZZES2_l       TestHEAAN             417bc0           44     65818072
_ZN4Ring18rightShiftAndEqualEPN3NTL2ZZEl       TestHEAAN             417b80          118     54134034
_ZN4Ring19multByConstAndEqualEPN3NTL2ZZERS1_RKS1_       TestHEAAN             417810            8      4194432
_ZN4Ring11subAndEqualEPN3NTL2ZZES2_RKS1_       TestHEAAN             416e50           10     12452060
_ZN4Ring11addAndEqualEPN3NTL2ZZES2_RKS1_       TestHEAAN             416d20          124     73140532
_ZN4Ring11modAndEqualEPN3NTL2ZZERKS1_       TestHEAAN             416a60            6      2752578
_ZN4Ring9squareNTTEPN3NTL2ZZEPmlRKS1_       TestHEAAN             416910           20           40
_ZN4Ring15multNTTAndEqualEPN3NTL2ZZEPmlRKS1_       TestHEAAN             4168f0            2            4
_ZN4Ring8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       TestHEAAN             4168d0           93          186
_ZN4Ring7multNTTEPN3NTL2ZZES2_PmlRKS1_       TestHEAAN             4168c0           34           68
_ZN4Ring14addNTTAndEqualEPmS0_l       TestHEAAN             4168a0            6           12
_ZN4Ring3CRTEPmPN3NTL2ZZEl       TestHEAAN             416890           69          138
_ZN14EvaluatorUtils11scaleUpToZZERKN3NTL2RREl       TestHEAAN             4158e0            8          224
_ZN10Ciphertext4copyERS_       TestHEAAN             414ff0            7      5963895
_ZN10Ciphertext10copyParamsERS_       TestHEAAN             414fd0           37          259
  _ZN10CiphertextC2Elll       TestHEAAN             414ce0           16      5243760
    _ZN10CiphertextD2Ev       TestHEAAN             414b80           15     17695170
_ZN10TestScheme20testBootstrapProfileEllll       TestHEAAN             411cf0            0          233
        _Z10endProfilei       TestHEAAN             406280        10585        42340
      _Z12startProfilei       TestHEAAN             406270        10586        42344
_ZnwmRKSt9nothrow_t@plt       TestHEAAN             404770            2            2
              frexp@plt       TestHEAAN             404720           14           14
pthread_setspecific@plt       TestHEAAN             404700            2            2
__cxa_guard_acquire@plt       TestHEAAN             4046e0            2            2
              floor@plt       TestHEAAN             404650           14           14
            realloc@plt       TestHEAAN             404610       524289       524289
               log2@plt       TestHEAAN             404530            3            5
         __gmpn_mul@plt       TestHEAAN             4044b0       524288       524290
             malloc@plt       TestHEAAN             404440      8454327      8454327
             _ZdaPv@plt       TestHEAAN             404400          373          373
      __gmpn_rshift@plt       TestHEAAN             4043d0      7733304      7733304
               free@plt       TestHEAAN             4043b0      8323253      8323253
       __gmpn_add_n@plt       TestHEAAN             404250      6876367      6876367
__cxa_guard_release@plt       TestHEAAN             4040d0            2            2
     __gmpn_tdiv_qr@plt       TestHEAAN             4040c0     20447239     20447239
    __gmpn_addmul_1@plt       TestHEAAN             4040a0    406650904    406650904
 pthread_key_create@plt       TestHEAAN             404050            2            2
             memset@plt       TestHEAAN             404010          183          183
       __gmpn_sub_n@plt       TestHEAAN             403f20     14557002     14557002
      __gmpn_lshift@plt       TestHEAAN             403e60           24           24
       __gmpn_mul_1@plt       TestHEAAN             403e20           20           20
               ceil@plt       TestHEAAN             403e10           68           68
              _Znam@plt       TestHEAAN             403dd0          375          375
                   .plt       TestHEAAN             403dc0            2            4
