              Procedure           Image            Address        Calls Instructions
_ZN3NTL6MakeRRERNS_2RRERKNS_2ZZEl       TestHEAAN             435ad0            8          120
_ZN3NTLL10normalize1ERNS_2RRERKNS_2ZZElll       TestHEAAN             4358d0           57         2887
_ZN6Scheme15evalExpAndEqualER10Ciphertextll       TestHEAAN             42eb90            1          326
_ZN6Scheme14exp2piAndEqualER10Ciphertextl       TestHEAAN             42d6b0            1          649
_ZN6Scheme19slotToCoeffAndEqualER10Ciphertext       TestHEAAN             429c50            1         2115
_ZN6Scheme19coeffToSlotAndEqualER10Ciphertext       TestHEAAN             4286e0            1         2115
_ZN6Scheme17normalizeAndEqualER10Ciphertext       TestHEAAN             4285d0            1      1276351
_ZN6Scheme9conjugateER10CiphertextS1_       TestHEAAN             427a90            2      2490748
_ZN6Scheme22leftRotateFastAndEqualER10Ciphertextl       TestHEAAN             4274f0           14     17435458
_ZN6Scheme14leftRotateFastER10CiphertextS1_l       TestHEAAN             426e60           18     22417069
_ZN6Scheme17modDownToAndEqualER10Ciphertextl       TestHEAAN             426da0            1           37
_ZN6Scheme16divByPo2AndEqualER10Ciphertextl       TestHEAAN             426990            1           18
_ZN6Scheme21multByPolyNTTAndEqualER10CiphertextPmll       TestHEAAN             426550            1           55
_ZN6Scheme13multByPolyNTTER10CiphertextS1_Pmll       TestHEAAN             4262d0           65         4095
_ZN6Scheme19multByConstAndEqualER10CiphertextRN3NTL2RREl       TestHEAAN             425f30            4          204
_ZN6Scheme14squareAndEqualER10Ciphertext       TestHEAAN             4254f0            8     14944408
_ZN6Scheme6squareER10CiphertextS1_       TestHEAAN             424e10            2      3736116
_ZN6Scheme12multAndEqualER10CiphertextS1_       TestHEAAN             424690            3      5604288
_ZN6Scheme16addConstAndEqualER10CiphertextRN3NTL2RREl       TestHEAAN             4237f0            1           45
_ZN6Scheme8addConstER10CiphertextS1_RN3NTL2RREl       TestHEAAN             4234a0            3          153
_ZN6Scheme11addAndEqualER10CiphertextS1_       TestHEAAN             4232c0           16          624
_ZN14RingMultiplier9squareNTTEPN3NTL2ZZEPmlRKS1_       TestHEAAN             41f6f0           20    984692233
_ZN14RingMultiplier15multNTTAndEqualEPN3NTL2ZZEPmlRKS1_       TestHEAAN             41e790            2     54527435
_ZN14RingMultiplier8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       TestHEAAN             41d8d0          113   9600710545
_ZN14RingMultiplier7multNTTEPN3NTL2ZZES2_PmlRKS1_       TestHEAAN             41d090          130   4618099724
_ZN14RingMultiplier11reconstructEPN3NTL2ZZEPmlRKS1_       TestHEAAN             41bfe0          265  19121081372
_ZN14RingMultiplier14addNTTAndEqualEPmS0_l       TestHEAAN             41bf60            6    124779583
_ZN14RingMultiplier3CRTEPmPN3NTL2ZZEl       TestHEAAN             41ba20           79   2491094622
_ZN14RingMultiplier4INTTEPml       TestHEAAN             41aaf0         8957 148478388313
_ZN14RingMultiplier3NTTEPml       TestHEAAN             41a890         6029  91866738946
_ZN4Ring9conjugateEPN3NTL2ZZES2_       TestHEAAN             417da0            4      5767172
_ZN4Ring10leftRotateEPN3NTL2ZZES2_l       TestHEAAN             417c30           64     95949056
_ZN4Ring18rightShiftAndEqualEPN3NTL2ZZEl       TestHEAAN             417bf0          138     63309294
_ZN4Ring19multByConstAndEqualEPN3NTL2ZZERS1_RKS1_       TestHEAAN             417880            8      4194432
_ZN4Ring11subAndEqualEPN3NTL2ZZES2_RKS1_       TestHEAAN             416ec0           10     12452060
_ZN4Ring11addAndEqualEPN3NTL2ZZES2_RKS1_       TestHEAAN             416da0          226    133303840
_ZN4Ring11modAndEqualEPN3NTL2ZZERKS1_       TestHEAAN             416ae0            6      2752578
_ZN4Ring9squareNTTEPN3NTL2ZZEPmlRKS1_       TestHEAAN             416990           20           40
_ZN4Ring15multNTTAndEqualEPN3NTL2ZZEPmlRKS1_       TestHEAAN             416970            2            4
_ZN4Ring8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       TestHEAAN             416950          113          226
_ZN4Ring7multNTTEPN3NTL2ZZES2_PmlRKS1_       TestHEAAN             416940          130          260
_ZN4Ring14addNTTAndEqualEPmS0_l       TestHEAAN             416920            6           12
_ZN4Ring3CRTEPmPN3NTL2ZZEl       TestHEAAN             416910           79          158
_ZN14EvaluatorUtils11scaleUpToZZERKN3NTL2RREl       TestHEAAN             415960            8          224
_ZN10Ciphertext4copyERS_       TestHEAAN             415070            7      5963895
_ZN10Ciphertext10copyParamsERS_       TestHEAAN             415050           87          609
  _ZN10CiphertextC2Elll       TestHEAAN             414d60           24      7865640
    _ZN10CiphertextD1Ev       TestHEAAN             414c00           23     27132594
_ZN10TestScheme20testBootstrapProfileEllll       TestHEAAN             411d70            0          203
        _Z10endProfilei       TestHEAAN             406200            4           16
      _Z12startProfilei       TestHEAAN             4061f0            5           20
_ZnwmRKSt9nothrow_t@plt       TestHEAAN             404770            2            2
              frexp@plt       TestHEAAN             404720           14           14
pthread_setspecific@plt       TestHEAAN             404700            2            2
__cxa_guard_acquire@plt       TestHEAAN             4046e0            2            2
              floor@plt       TestHEAAN             404650           14           14
            realloc@plt       TestHEAAN             404610       524289       524289
               log2@plt       TestHEAAN             404530            3            5
