              Procedure           Image            Address        Calls Instructions
 _ZN3NTL4convERNS_2RREd       IDASH2017             436370           10          457
_ZN3NTL8ConvPrecERNS_2RRERKS0_l       IDASH2017             434f60           10          240
_ZN3NTL6MakeRRERNS_2RRERKNS_2ZZEl       IDASH2017             434e30           10          150
_ZN3NTLL10normalize1ERNS_2RRERKNS_2ZZElll       IDASH2017             434c30           30         1475
_ZN14EvaluatorUtils11scaleUpToZZEdl       IDASH2017             434630           10          390
_ZN6Scheme15rightRotateFastER10CiphertextS1_l       IDASH2017             42ae80            4           16
_ZN6Scheme14leftRotateFastER10CiphertextS1_l       IDASH2017             42a270           34     42178101
_ZN6Scheme17modDownToAndEqualER10Ciphertextl       IDASH2017             42a1b0           10          370
_ZN6Scheme9modDownToER10CiphertextS1_l       IDASH2017             42a0d0            2           90
_ZN6Scheme17reScaleByAndEqualER10Ciphertextl       IDASH2017             429ea0           17          323
_ZN6Scheme21multByPolyNTTAndEqualER10CiphertextPmll       IDASH2017             429960            1           55
_ZN6Scheme19multByConstAndEqualER10Ciphertextdl       IDASH2017             429230            3          147
_ZN6Scheme11multByConstER10CiphertextS1_dl       IDASH2017             428fc0            6          342
_ZN6Scheme6squareER10CiphertextS1_       IDASH2017             428220            2      3736116
_ZN6Scheme12multAndEqualER10CiphertextS1_       IDASH2017             427aa0            6     11208573
_ZN6Scheme3subER10CiphertextS1_S1_       IDASH2017             426e90            2           94
_ZN6Scheme16addConstAndEqualER10Ciphertextdl       IDASH2017             426af0            1           43
_ZN6Scheme11addAndEqualER10CiphertextS1_       IDASH2017             4266d0           40         1560
_ZN14RingMultiplier9squareNTTEPN3NTL2ZZEPmlRKS1_       IDASH2017             422c00            4     28313087
_ZN14RingMultiplier15multNTTAndEqualEPN3NTL2ZZEPmlRKS1_       IDASH2017             421ca0            2      8389307
_ZN14RingMultiplier8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       IDASH2017             420de0          104   7813593895
